Name of Organization,EIN,Classification,Nonprofit Tax Code Designation: 501(c)(3),FISCAL YEAR,Total Revenue,Total Functional Expenses,Net Income
SOUTH LAFOURCHE QUARTERBACK CLUB,00-0004101,"Football Clubs, Leagues (Recreation, Sports, Leisure, Athletics)",Yes,N/A,N/A,N/A,N/A
IGLESIA BETHESDA INC,00-0587764,"Protestant (Religion-Related, Spiritual Development)",Yes,N/A,N/A,N/A,N/A
MINISTERIO APOSTOLICO JESUCRISTO ES EL SENOR INC,00-0635913,"Protestant (Religion-Related, Spiritual Development)",Yes,N/A,N/A,N/A,N/A
MERCY CHAPEL INTERNATIONAL,00-0765634,"Christian (Religion-Related, Spiritual Development)",Yes,N/A,N/A,N/A,N/A
AGAPE HOUSE OF PRAYER,00-0841363,"Christian (Religion-Related, Spiritual Development)",Yes,N/A,N/A,N/A,N/A
BETHANY PRESBYTERIAN CHURCH,00-0852649,"Christian (Religion-Related, Spiritual Development)",Yes,N/A,N/A,N/A,N/A
RESTORATION OF HOPE CHURCH MINISTRIES,00-1347537,"Christian (Religion-Related, Spiritual Development)",Yes,N/A,N/A,N/A,N/A
CHURCH OF OUR LORD JESUS CHRIST OF MACEDONIA,00-2030711,N/A,Yes,N/A,N/A,N/A,N/A
RELIGIOUS SCIENCE CHURCH CENTER OF SAN DIEGO,00-2296179,N/A,Yes,N/A,N/A,N/A,N/A
TRI-COUNTY LIGHTHOUSE BAPTIST CHURCH & MINISTRIES INC,00-7764840,"Protestant (Religion-Related, Spiritual Development)",Yes,N/A,N/A,N/A,N/A
HULLS COVE NEIGHBORHOOD ASSOCIATION,01-0002847,"Historical Societies, Related Historical Activities (Arts, Culture and Humanities)",Yes,N/A,N/A,N/A,N/A
MASSACHUSETTS MODERATORS ASSOCIATION,01-0011694,"Nonmonetary Support N.E.C. (Community Improvement, Capacity Building)",Yes,2001,N/A,N/A,N/A
HANOVER SOCCER CLUB INC,01-0015091,"Soccer Clubs, Leagues (Recreation, Sports, Leisure, Athletics)",Yes,2019,113339,120189,N/A
AGAMENTICUS YACHT CLUB OF YORK,01-0017496,N/A,Yes,2020,112745,123169,N/A
ANCIENT FREE & ACCEPTED MASONS OF MAINE GRAND LODGE,01-0019705,N/A,No,2020,462216,368015,94201
ANCIENT FREE & ACCEPTED MASONS OF MAINE,01-0019709,"Domestic Fraternal Societies (Mutual/Membership Benefit Organizations, Other)",No,N/A,N/A,N/A,N/A
BANGOR BAND,01-0024155,N/A,Yes,N/A,N/A,N/A,N/A
BANGOR SYMPHONY ORCHESTRA,01-0024645,"Symphony Orchestras (Arts, Culture and Humanities)",Yes,2020,1084597,666508,418089
BAR HARBOR VILLAGE IMPROVEMENT ASSOCIATION,01-0024907,"Community, Neighborhood Development, Improvement (General) (Community Improvement, Capacity Building)",Yes,2021,96724,35691,N/A
BERWICK CEMETERY ASSOCIATION INC,01-0028850,"Cemeteries, Burial Services (Mutual/Membership Benefit Organizations, Other)",No,2021,94618,167610,N/A
COMMUNITY CHRISTMAS PROJECT INC,01-0043788,"Food Banks, Food Pantries (Food, Agriculture and Nutrition)",Yes,N/A,N/A,N/A,N/A
DEMERRITT CEMETERY ASSOC,01-0056642,N/A,No,N/A,N/A,N/A,N/A
HEALING AND DELIVERANCE MINISTRY INC,01-0060379,"Christian (Religion-Related, Spiritual Development)",Yes,N/A,N/A,N/A,N/A
HANCOCK COUNTY AGRICULTURAL SOCIETY,01-0085716,"Fairs, County and Other (Recreation, Sports, Leisure, Athletics)",Yes,N/A,N/A,N/A,N/A
HOPE CEMETERY CORPORATION,01-0092600,N/A,No,2020,954944,171036,783908
IMPROVED ORDER OF REDMEN OF MAINE,01-0095329,N/A,No,2019,23504,36616,N/A
KNIGHTS OF PYTHIAS OF MAINE GRAND LODGE,01-0102346,N/A,No,N/A,N/A,N/A,N/A
LAUREL HILL CEMETERY ASSOCIATION,01-0104905,N/A,No,2020,413882,749454,N/A
SAINT ANDREW CHURCH,01-0104976,"Protestant (Religion-Related, Spiritual Development)",Yes,N/A,N/A,N/A,N/A
MECHANIC FALLS MAPLE GROVE CEMETERY INC,01-0114721,N/A,No,2004,N/A,N/A,N/A
MT HOPE CEMETERY CORP,01-0124810,N/A,No,2020,1130778,910430,220348
MT PLEASANT CEMETERY CORP,01-0124841,N/A,No,2020,66662,43406,23256
NORTH AUBURN CEMETERY ASSOCIATION INC,01-0130065,N/A,No,N/A,N/A,N/A,N/A
BRIDGTON HOSPITAL,01-0130427,"Hospital, General (Health — General and Rehabilitative)",Yes,2020,49375323,45992045,3383278
NORWAY PINE GROVE CEMETERY CORP,01-0130865,"Cemeteries, Burial Services (Mutual/Membership Benefit Organizations, Other)",No,2021,58877,43003,15874
OAK GROVE CEMETERY ASSO,01-0131335,N/A,No,2020,52706,94823,N/A
PLANT MEMORIAL HOME,01-0131950,N/A,Yes,2020,527920,824405,N/A
ORCHARD GROVE CEMETERY ASSOCIATION,01-0132610,"Cemeteries, Burial Services (Y52Z) (Mutual/Membership Benefit Organizations, Other)",No,2019,64981,19015,45966
ORDER OF THE EASTERN STAR OF MAINE,01-0132625,N/A,No,2020,64195,257420,N/A
OXFORD COUNTY AGRICULTURAL SOCIETY,01-0133442,Unknown / Unclassified,Yes,2020,73091,122833,N/A
PINE GROVE CEMETERY ASSOCIATION,01-0140283,"Cemeteries, Burial Services (Mutual/Membership Benefit Organizations, Other)",No,2020,42324,38343,3981
PINE GROVE CEMETERY CORP,01-0140290,N/A,No,2020,313591,123445,190146
PROUTS NECK ASSOCIATION,01-0145133,N/A,Yes,2020,123633,164836,N/A
